time,satellite id,x in m,y in m,z in m,clock error,x-sdev,y-sdev,z-sdev,c-sdev
0,PG15,-20946.485767,937.137486,16012.491718,0.727243,9,9,8,191
15,PG15,-22377.705843,-163.604252,14062.491844,0.730111,9,9,8,191
30,PG15,-23646.803874,-1084.753462,11866.861052,0.733041,9,9,8,191
45,PG15,-24716.509620,-1838.030890,9465.093550,0.736049,9,9,8,191
60,PG15,-25554.432282,-2442.098264,6899.835958,0.738726,9,8,8,192
75,PG15,-26134.226620,-2921.549996,4216.068681,0.742176,9,8,8,192
90,PG15,-26436.517154,-3305.694242,1460.281366,0.744824,9,8,8,192
105,PG15,-26449.552732,-3627.177702,-1320.340935,0.748085,9,8,8,192
120,PG15,-26169.575329,-3920.511605,-4078.707046,0.750763,9,8,8,192
135,PG15,-25600.898160,-4220.556973,-6768.573281,0.753757,9,9,8,192
150,PG15,-24755.698626,-4561.025718,-9345.253002,0.756494,9,9,8,192
165,PG15,-23653.541016,-4973.050879,-11766.276119,0.759580,9,9,8,192
180,PG15,-22320.652097,-5483.874488,-13991.994613,0.762367,8,9,8,192
195,PG15,-20788.979581,-6115.695829,-15986.131805,0.765296,8,9,8,192
210,PG15,-19095.069076,-6884.716203,-17716.274268,0.768578,8,9,8,192
225,PG15,-17278.799436,-7800.409232,-19154.306068,0.771459,8,9,7,192
240,PG15,-15382.019581,-8865.038321,-20276.785309,0.774245,8,9,7,192
255,PG15,-13447.131827,-10073.435277,-21065.262960,0.777264,8,8,7,191
270,PG15,-11515.667759,-11413.046465,-21506.543555,0.780250,8,8,7,191
285,PG15,-9626.902615,-12864.245196,-21592.886799,0.782858,8,8,7,191
300,PG15,-7816.553120,-14400.901507,-21322.148303,0.785919,8,8,7,191
315,PG15,-6115.601724,-15991.193012,-20697.856874,0.789043,8,8,7,191
330,PG15,-4549.287166,-17598.633204,-19729.224930,0.791561,8,8,7,191
345,PG15,-3136.297255,-19183.286606,-18431.087900,0.794670,8,8,7,191
360,PG15,-1888.194602,-20703.133486,-16823.767972,0.797682,8,8,7,191
375,PG15,-809.099766,-22115.540794,-14932.857361,0.800138,8,8,7,191
390,PG15,104.351210,-23378.790641,-12788.916539,0.803259,8,8,7,191
405,PG15,862.766390,-24453.613382,-10427.083613,0.805976,8,8,7,190
420,PG15,1483.475858,-25304.669464,-7886.592416,0.808888,8,8,7,190
435,PG15,1989.739532,-25901.923002,-5210.198875,0.811640,8,8,8,190
450,PG15,2409.707417,-26221.850926,-2443.517863,0.814769,8,8,8,190
465,PG15,2775.165969,-26248.434797,365.724043,0.817553,8,8,8,190
480,PG15,3120.114846,-25973.888216,3168.510776,0.820208,8,8,8,191
495,PG15,3479.227981,-25399.081301,5915.420872,0.823162,8,8,8,189
510,PG15,3886.260760,-24533.634843,8557.556360,0.826337,8,8,8,189
525,PG15,4372.470561,-23395.670174,11047.495622,0.828867,8,8,7,189
540,PG15,4965.120318,-22011.215985,13340.246263,0.832121,8,7,7,189
555,PG15,5686.133664,-20413.289487,15394.171787,0.835261,8,7,7,189
570,PG15,6550.965335,-18640.685549,17171.864848,0.837839,8,7,7,189
585,PG15,7567.741900,-16736.522611,18640.940124,0.841029,8,7,7,189
600,PG15,8736.715868,-14746.607282,19774.721730,0.843764,8,7,6,189
615,PG15,10050.061380,-12717.689528,20552.803233,0.846748,8,7,6,189
630,PG15,11492.023025,-10695.686506,20961.462881,0.849713,8,7,6,189
645,PG15,13039.411833,-8723.954873,20993.922080,0.852792,8,7,6,189
660,PG15,14662.425298,-6841.688691,20650.441227,0.855546,7,7,6,189
675,PG15,16325.752656,-5082.513033,19938.253257,0.858805,7,7,6,190
690,PG15,17989.913405,-3473.332675,18871.341235,0.861787,7,7,6,190
705,PG15,19612.767030,-2033.481604,17470.071725,0.864687,7,7,7,190
720,PG15,21151.125585,-774.203532,15760.700070,0.867649,8,7,7,191
735,PG15,22562.398292,301.522772,13774.767013,0.870680,8,7,7,191
750,PG15,23806.198528,1198.815716,11548.408148,0.873387,8,7,7,191
765,PG15,24845.848123,1930.398088,9121.598486,0.876463,8,7,7,191
780,PG15,25649.721205,2515.809846,6537.354105,0.879228,8,7,7,191
795,PG15,26192.379222,2980.367901,3840.911617,0.882180,8,7,7,191
810,PG15,26455.459557,3353.922442,1078.904163,0.885296,8,7,7,191
825,PG15,26428.291620,3669.464745,-1701.449822,0.888078,8,7,8,191
840,PG15,26108.225843,3961.644146,-4453.131587,0.891224,8,7,8,190
855,PG15,25500.672160,4265.252173,-7130.070070,0.894126,8,7,8,191
870,PG15,24618.854828,4613.730062,-9687.844878,0.896926,8,7,8,191
885,PG15,23483.299737,5037.752345,-12084.338564,0.900106,8,7,7,191
900,PG15,22121.078332,5563.934315,-14280.334524,0.902839,8,7,7,191
915,PG15,20564.838994,6213.705217,-16240.058438,0.905923,7,8,7,191
930,PG15,18851.662154,7002.382360,-17931.662273,0.908643,7,8,7,191
945,PG15,17021.779538,7938.474178,-19327.650613,0.911646,7,8,7,191
960,PG15,15117.200952,9023.232810,-20405.249293,0.914568,7,8,7,192
975,PG15,13180.293853,10250.469176,-21146.716298,0.917330,7,8,6,192
990,PG15,11252.361779,11606.635858,-21539.594439,0.920158,7,8,6,191
1005,PG15,9372.267525,13071.175459,-21576.904728,0.923308,7,8,6,191
1020,PG15,7575.145793,14617.124560,-21257.278589,0.926181,7,8,6,191
1035,PG15,5891.247916,16211.955935,-20585.026191,0.929083,7,8,7,191
1050,PG15,4344.958094,17818.634454,-19570.137375,0.931988,7,8,7,191
1065,PG15,2954.016393,19396.855095,-18228.210949,0.934809,7,8,7,191
1080,PG15,1728.978444,20904.424948,-16580.307664,0.937618,7,8,7,191
1095,PG15,672.935358,22298.745050,-14652.722058,0.940509,7,8,7,192
1110,PG15,-218.490265,23538.342751,-12476.668674,0.943469,7,8,7,192
1125,PG15,-956.865028,24584.401148,-10087.878996,0.946426,7,8,7,191
1140,PG15,-1560.384693,25402.229504,-7526.106899,0.949128,7,8,8,191
1155,PG15,-2053.046462,25962.617582,-4834.542511,0.951962,7,8,8,191
1170,PG15,-2463.577664,26243.018045,-2059.137098,0.954953,7,8,8,191
1185,PG15,-2824.155993,26228.504653,752.155116,0.957793,8,8,8,191
1200,PG15,-3168.966992,25912.460202,3550.208537,0.960637,8,8,8,191
1215,PG15,-3532.653907,25296.957056,6285.617557,0.963542,8,8,8,191
1230,PG15,-3948.722609,24392.804586,8909.630048,0.966486,8,8,8,192
1245,PG15,-4447.969358,23219.251564,11375.101706,0.969621,8,8,8,192
1260,PG15,-5057.001142,21803.346916,13637.446907,0.972420,8,8,8,191
1275,PG15,-5796.916701,20178.978481,15655.559665,0.975581,8,8,7,191
1290,PG15,-6682.210957,18385.625565,17392.677401,0.978434,8,8,7,191
1305,PG15,-7719.956457,16466.876058,18817.160762,0.981503,8,8,7,191
1320,PG15,-8909.302984,14468.771564,19903.164733,0.984416,8,8,7,191
1335,PG15,-10241.321362,12438.053568,20631.179677,0.987530,8,8,7,191
1350,PG15,-11699.200610,10420.389191,20988.425607,0.990617,8,8,7,191
1365,PG15,-13258.790084,8458.656248,20969.088530,0.993538,8,8,7,191
1380,PG15,-14889.461224,6591.364028,20574.393825,0.996621,8,8,7,191
1395,PG15,-16555.248144,4851.278629,19812.517874,0.999579,8,8,8,191
1410,PG15,-18216.213463,3264.310509,18698.345042,1.002483,8,8,8,191
1425,PG15,-19829.976271,1848.707946,17253.082426,1.005560,8,8,8,191
